기준_년분기_코드,상권_코드_명,임대료,임대료_전년동분기_상승률(%),일반_점포_수,총_점포_수(유사업종),개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,개업률_재계산(%),폐업률_재계산(%),점포교체율(%),프랜차이즈비율(%),폐업률_전년동분기_변화(%p),점포교체율_전년동분기_변화(%p),프랜차이즈비율_전년동분기_변화(%p),예상_원본상권_수,관측된_원본상권_수,매칭_원본상권명,매칭_주의
기준_년분기_코드	상권_코드_명	임대료	임대료_전년동분기_상승률(%)	일반_점포_수	총_점포_수(유사업종)	개업_점포_수	폐업_점포_수	프랜차이즈_점포_수	개업률_재계산(%)	폐업률_재계산(%)	점포교체율(%)	프랜차이즈비율(%)	폐업률_전년동분기_변화(%p)	점포교체율_전년동분기_변화(%p)	프랜차이즈비율_전년동분기_변화(%p)	예상_원본상권_수	관측된_원본상권_수	매칭_원본상권명	매칭_주의
20211	광화문			1778	1913	50	57	135	2.6137	2.9796	5.5933	7.0570				1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	광화문			1785	1924	52	41	139	2.7027	2.1310	4.8337	7.2245				1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	광화문			1794	1932	44	36	138	2.2774	1.8634	4.1408	7.1429				1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	광화문			1814	1956	56	32	142	2.8630	1.6360	4.4990	7.2597				1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	광화문			1804	1944	29	41	140	1.4918	2.1091	3.6008	7.2016	-0.8706	-1.9925	0.1447	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	광화문			1814	1953	53	44	139	2.7138	2.2529	4.9667	7.1173	0.1220	0.1330	-0.1073	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	광화문			1805	1949	45	49	144	2.3089	2.5141	4.8230	7.3884	0.6508	0.6822	0.2455	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	광화문			1836	1985	66	30	149	3.3249	1.5113	4.8363	7.5063	-0.1247	0.3373	0.2466	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	광화문			1846	1993	50	42	147	2.5088	2.1074	4.6162	7.3758	-0.0017	1.0153	0.1742	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	광화문			1869	2016	61	38	147	3.0258	1.8849	4.9107	7.2917	-0.3680	-0.0560	0.1744	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	광화문			1863	2008	40	48	145	1.9920	2.3904	4.3825	7.2211	-0.1237	-0.4405	-0.1673	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	광화문			1867	2015	41	34	148	2.0347	1.6873	3.7221	7.3449	0.1760	-1.1142	-0.1614	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20241	광화문			1866	2018	45	42	152	2.2299	2.0813	4.3112	7.5322	-0.0261	-0.3050	0.1564	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20242	광화문			1869	2019	33	32	150	1.6345	1.5849	3.2194	7.4294	-0.3000	-1.6913	0.1378	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20243	광화문	91.4		1878	2027	38	30	149	1.8747	1.4800	3.3547	7.3508	-0.9104	-1.0278	0.1296	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20244	광화문	91.6		1867	2017	29	38	150	1.4378	1.8840	3.3218	7.4368	0.1966	-0.4003	0.0919	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20251	광화문	91.4		1850	2000	27	45	150	1.3500	2.2500	3.6000	7.5000	0.1687	-0.7112	-0.0322	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20252	광화문	91.3		1860	2011	34	24	151	1.6907	1.1934	2.8841	7.5087	-0.3915	-0.3353	0.0793	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20253	광화문	91.4	0.0000	1848	1997	30	43	149	1.5023	2.1532	3.6555	7.4612	0.6732	0.3008	0.1104	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20254	광화문	91.6	0.0000	1840	1986	26	37	146	1.3092	1.8630	3.1722	7.3515	-0.0209	-0.1496	-0.0853	1	1	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20261	광화문	92.2	0.8753													1	0	광화문역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
