상권별(1),상권별(2),상권별(3),2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4
전국,소계,소계,102.1,101.9,101.6,101.3,101.2,101.1,101.1,100.8,100.6,100.4,100.3,100.2,100.1,100.0,99.9,99.7,99.4,99.2,98.9,98.8,98.6
서울,소계,소계,98.1,98.0,97.7,97.4,97.4,97.6,97.7,97.7,97.9,98.2,98.7,98.9,99.3,100.0,100.6,100.9,100.9,101.1,101.5,101.9,102.4
서울,소계(도심지역),소계,99.0,98.6,97.9,97.4,97.4,97.5,97.8,97.6,97.8,98.1,98.7,98.8,99.2,100.0,100.4,100.6,100.3,100.4,100.7,101.1,101.6
서울,소계(도심지역),광화문,98.6,98.5,97.8,97.1,96.8,96.9,97.2,98.1,98.8,98.0,98.7,98.9,99.6,100.0,100.2,100.4,100.2,100.2,100.2,100.5,101.2
서울,소계(도심지역),남대문,97.8,97.3,95.8,94.7,94.3,94.6,95.5,95.6,95.7,96.5,96.8,97.2,97.6,100.0,101.6,101.7,101.2,101.6,102.3,102.9,104.0
서울,소계(도심지역),동대문,100.8,100.6,99.6,99.0,99.3,99.5,99.4,98.9,98.7,97.8,98.2,98.2,98.5,100.0,100.0,100.0,99.9,100.0,100.3,100.4,100.4
서울,소계(도심지역),명동,109.3,106.2,100.8,96.5,96.5,96.6,96.4,96.5,96.7,96.7,97.0,98.3,99.1,100.0,100.9,101.8,102.2,102.6,103.7,105.7,108.2
서울,소계(도심지역),방산시장,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.2,100.3,100.2,100.1,100.1,100.1,100.1
서울,소계(도심지역),북촌,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.1,100.3,100.2,100.4,100.9,101.5,102.3
서울,소계(도심지역),서촌,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.4,100.6,100.3,100.5,101.2,101.9,102.8
서울,소계(도심지역),시청,95.9,94.2,94.1,94.0,94.3,94.3,94.9,95.2,95.3,96.3,97.8,98.8,99.6,100.0,100.2,100.2,100.2,100.3,100.3,100.8,101.5
서울,소계(도심지역),을지로,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.3,100.5,100.1,100.3,100.5,100.8,101.5
서울,소계(도심지역),종로,97.9,97.4,96.8,96.4,96.2,96.4,96.8,97.1,97.8,98.7,99.2,99.5,99.8,100.0,100.2,100.5,100.5,100.8,101.0,101.4,102.4
서울,소계(도심지역),충무로,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,100.9,101.0,100.2,100.0,100.2,100.5,100.5
